Round,Accuracy_fedGRA,Comm_fedGRA,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y
1,11.27,4,11.360000000000001,4,9.8,4
2,9.82,4,12.45,4,8.92,4
3,19.16,4,8.92,4,9.82,4
4,10.100000000000001,4,9.9,4,11.31,4
5,19.139999999999997,4,10.15,4,19.6,4
6,11.600000000000001,4,18.37,4,18.33,4
7,9.82,4,8.92,4,10.100000000000001,4
8,10.32,4,10.100000000000001,4,10.32,4
9,16.63,4,8.92,4,9.93,4
10,21.62,4,9.87,4,9.82,4
11,29.270000000000003,4,12.520000000000001,4,10.95,4
12,28.57,4,16.63,4,10.32,4
13,21.81,4,16.6,4,9.8,4
14,11.07,4,17.61,4,8.92,4
15,26.290000000000003,4,10.100000000000001,4,10.100000000000001,4
16,10.9,4,23.75,4,12.629999999999999,4
17,22.509999999999998,4,28.29,4,16.46,4
18,13.48,4,17.41,4,23.51,4
19,30.0,4,22.75,4,10.58,4
20,15.260000000000002,4,17.630000000000003,4,36.46,4
21,16.64,4,41.02,4,39.519999999999996,4
22,9.29,4,34.93,4,18.02,4
23,27.73,4,37.66,4,21.5,4
24,32.940000000000005,4,34.43,4,9.82,4
25,20.79,4,41.71,4,11.83,4
26,11.01,4,32.41,4,21.64,4
27,24.77,4,33.57,4,11.58,4
28,18.04,4,14.7,4,20.51,4
29,18.279999999999998,4,29.04,4,10.280000000000001,4
30,16.91,4,24.11,4,14.85,4
31,25.77,4,22.7,4,18.45,4
32,18.34,4,31.929999999999996,4,10.81,4
33,14.74,4,46.73,4,22.53,4
34,26.640000000000004,4,46.97,4,28.139999999999997,4
35,28.67,4,40.0,4,21.33,4
36,27.060000000000002,4,45.01,4,25.89,4
37,14.680000000000001,4,35.57,4,41.38,4
38,13.170000000000002,4,48.36,4,49.15,4
39,15.190000000000001,4,25.569999999999997,4,48.339999999999996,4
40,10.52,4,30.86,4,16.45,4
41,26.66,4,45.4,4,32.08,4
42,28.33,4,35.07,4,40.54,4
43,39.160000000000004,4,18.45,4,26.5,4
44,39.26,4,28.84,4,32.190000000000005,4
45,49.05,4,24.63,4,43.47,4
46,38.26,4,26.39,4,52.75,4
47,37.14,4,23.41,4,51.17,4
48,27.85,4,51.24999999999999,4,37.44,4
49,32.98,4,29.459999999999997,4,41.15,4
50,29.23,4,46.589999999999996,4,44.3,4
51,40.910000000000004,4,60.72,4,53.86,4
52,30.75,4,38.15,4,49.75,4
53,44.65,4,55.1,4,37.56,4
54,47.18,4,68.12,4,29.770000000000003,4
55,51.83,4,56.71000000000001,4,47.199999999999996,4
56,34.48,4,37.39,4,15.43,4
57,51.980000000000004,4,59.540000000000006,4,39.019999999999996,4
58,48.58,4,60.370000000000005,4,31.47,4
59,48.17,4,45.769999999999996,4,51.29,4
60,45.08,4,44.22,4,33.81,4
61,37.72,4,57.330000000000005,4,32.23,4
62,28.57,4,67.25,4,32.76,4
63,24.36,4,74.62,4,50.39,4
64,38.36,4,66.9,4,32.5,4
65,42.71,4,59.67,4,35.339999999999996,4
66,33.29,4,50.67,4,26.52,4
67,38.42,4,65.86999999999999,4,44.58,4
68,47.06,4,70.88,4,31.97,4
69,51.04,4,71.22,4,55.24,4
70,43.669999999999995,4,51.239999999999995,4,52.05,4
71,46.18,4,72.53,4,57.67,4
72,25.47,4,65.38000000000001,4,57.97,4
73,33.92,4,72.58,4,69.48,4
74,50.370000000000005,4,52.190000000000005,4,67.06,4
75,54.06999999999999,4,63.68000000000001,4,72.92,4
76,51.49,4,60.6,4,56.86,4
77,45.75,4,58.489999999999995,4,45.29,4
78,47.33,4,77.5,4,67.36,4
79,53.82,4,59.78,4,72.2,4
80,36.28,4,53.74,4,74.03,4
81,48.1,4,59.43000000000001,4,75.27000000000001,4
82,51.88,4,71.28,4,77.58,4
83,50.480000000000004,4,74.44,4,59.75,4
84,54.11,4,56.98,4,66.79,4
85,58.730000000000004,4,79.57,4,57.79,4
86,64.96,4,79.27,4,76.97,4
87,53.39,4,67.85,4,55.78999999999999,4
88,36.14,4,65.62,4,57.17,4
89,64.09,4,73.38,4,58.330000000000005,4
90,59.36,4,58.599999999999994,4,48.46,4
91,59.660000000000004,4,79.80000000000001,4,75.14999999999999,4
92,56.169999999999995,4,75.61,4,66.77,4
93,68.47999999999999,4,74.77000000000001,4,65.84,4
94,62.01,4,65.42,4,69.88,4
95,49.980000000000004,4,63.11,4,77.81,4
96,42.34,4,70.27,4,74.08,4
97,66.57,4,76.5,4,62.61,4
98,46.71,4,64.08,4,71.97,4
99,61.99,4,67.66,4,62.23,4
100,46.26,4,78.72,4,80.2,4
101,60.46,4,81.19,4,78.41,4
102,58.97,4,79.31,4,81.97,4
103,36.68,4,78.13,4,69.59,4
104,57.4,4,69.16,4,80.02,4
105,52.64,4,77.33,4,68.08999999999999,4
106,56.65,4,67.5,4,78.97999999999999,4
107,45.4,4,70.63000000000001,4,76.68,4
108,57.06,4,71.56,4,81.43,4
109,52.09,4,78.66,4,68.34,4
110,58.35,4,81.87,4,70.67,4
111,55.010000000000005,4,81.64,4,73.83999999999999,4
112,64.53999999999999,4,82.06,4,82.23,4
113,63.849999999999994,4,73.15,4,82.78,4
114,75.57000000000001,4,67.63,4,73.99,4
115,68.04,4,81.01,4,80.91000000000001,4
116,72.57000000000001,4,73.71,4,80.75,4
117,68.16,4,82.92,4,78.61,4
118,70.76,4,84.02,4,79.80000000000001,4
119,73.59,4,84.88,4,71.75,4
120,70.41,4,75.69,4,84.99,4
121,61.89,4,77.46,4,84.22,4
122,61.419999999999995,4,72.49,4,78.28,4
123,72.44,4,73.32,4,80.63,4
124,73.42,4,66.69,4,76.83,4
125,68.39,4,72.36,4,75.06,4
126,68.8,4,70.67,4,78.36999999999999,4
127,68.0,4,75.25,4,75.78,4
128,69.85,4,80.63,4,74.21,4
129,77.61,4,86.59,4,75.08,4
130,74.00999999999999,4,83.25,4,77.75,4
131,69.47,4,84.25,4,73.78,4
132,68.89999999999999,4,77.63,4,80.14,4
133,71.52,4,82.39999999999999,4,78.0,4
134,72.95,4,76.29,4,79.17999999999999,4
135,78.13,4,76.83,4,83.39999999999999,4
136,79.71000000000001,4,83.7,4,78.4,4
137,80.84,4,86.5,4,86.1,4
138,73.0,4,81.35,4,76.52,4
139,72.27,4,77.42,4,82.62,4
140,77.59,4,80.5,4,85.95,4
141,72.64,4,85.82,4,88.77000000000001,4
142,71.56,4,77.45,4,87.91,4
143,70.73,4,86.79,4,83.2,4
144,74.44,4,78.44,4,87.26,4
145,73.08,4,79.99000000000001,4,83.8,4
146,74.24,4,77.59,4,86.36,4
147,79.27,4,85.5,4,88.09,4
148,78.10000000000001,4,86.77,4,86.9,4
149,77.62,4,86.2,4,88.4,4
150,76.99000000000001,4,88.59,4,85.39,4
151,79.82000000000001,4,88.83,4,84.7,4
152,81.16,4,88.37,4,85.14,4
153,75.88000000000001,4,88.22,4,83.65,4
154,75.36,4,87.83,4,80.08,4
155,78.02,4,81.17,4,77.24,4
156,80.10000000000001,4,87.83999999999999,4,76.03,4
157,81.77,4,82.58,4,86.64,4
158,78.44,4,85.42,4,85.65,4
159,77.10000000000001,4,87.55,4,78.32000000000001,4
160,79.23,4,83.89,4,81.94,4
161,80.36,4,80.65,4,84.2,4
162,77.39,4,85.81,4,86.28,4
163,74.67,4,82.96,4,85.38,4
164,75.46000000000001,4,81.32000000000001,4,85.24000000000001,4
165,79.05,4,89.05,4,83.16,4
166,87.37,4,89.08,4,84.17999999999999,4
167,80.54,4,88.3,4,87.64999999999999,4
168,81.89,4,85.92999999999999,4,83.62,4
169,84.65,4,82.78,4,87.07000000000001,4
170,78.60000000000001,4,83.89,4,87.99,4
171,84.17,4,81.69,4,86.96000000000001,4
172,85.94000000000001,4,88.0,4,85.58,4
173,85.44,4,85.22,4,86.04,4
174,82.23,4,85.56,4,87.11,4
175,84.15,4,88.16000000000001,4,89.07000000000001,4
176,84.74000000000001,4,87.22999999999999,4,88.33,4
177,85.33,4,83.7,4,88.79,4
178,83.62,4,88.12,4,90.25999999999999,4
179,81.85,4,90.22,4,88.99000000000001,4
180,83.36,4,87.53999999999999,4,88.14999999999999,4
181,86.25,4,86.36,4,87.14,4
182,86.17,4,88.61,4,89.03999999999999,4
183,85.15,4,83.17999999999999,4,87.15,4
184,84.06,4,83.07,4,86.45,4
185,83.50999999999999,4,85.74000000000001,4,88.22,4
186,85.33,4,88.71,4,87.75,4
187,86.94,4,84.47,4,89.24,4
188,86.99,4,85.88,4,86.87,4
189,87.88,4,85.61999999999999,4,89.49000000000001,4
190,84.57000000000001,4,89.05,4,90.45,4
191,87.22,4,84.14,4,87.9,4
192,86.00999999999999,4,83.91,4,88.53999999999999,4
193,84.73,4,89.34,4,88.17,4
194,87.57000000000001,4,87.53,4,90.10000000000001,4
195,85.5,4,88.46000000000001,4,86.53999999999999,4
196,86.00999999999999,4,84.45,4,89.25,4
197,86.76,4,84.28999999999999,4,88.99000000000001,4
198,87.96000000000001,4,87.6,4,89.19,4
199,86.57000000000001,4,88.97,4,89.28,4
200,86.52,4,88.75999999999999,4,89.56,4
