Local Epochs,Round,Accuracy
1,1,9.8
1,2,10.100000000000001
1,3,9.8
1,4,9.8
1,5,9.8
1,6,9.8
1,7,9.8
1,8,9.8
1,9,9.8
1,10,9.8
1,11,9.8
1,12,9.8
1,13,9.8
1,14,9.8
1,15,9.8
1,16,9.8
1,17,9.8
1,18,9.8
1,19,11.35
1,20,11.35
1,21,9.82
1,22,9.82
1,23,9.58
1,24,9.58
1,25,9.74
1,26,9.74
1,27,9.74
1,28,9.74
1,29,9.74
1,30,9.74
1,31,9.74
1,32,9.74
1,33,9.74
1,34,9.74
1,35,9.74
1,36,9.74
1,37,9.8
1,38,9.8
1,39,11.35
1,40,11.35
1,41,9.82
1,42,9.82
1,43,9.58
1,44,9.58
1,45,9.58
1,46,9.58
1,47,9.58
1,48,9.58
1,49,9.58
1,50,9.58
1,51,9.58
1,52,9.58
1,53,9.58
1,54,9.58
1,55,9.74
1,56,9.74
1,57,9.8
1,58,9.8
1,59,11.35
1,60,11.35
1,61,9.82
1,62,9.82
1,63,9.82
1,64,9.82
1,65,9.82
1,66,9.82
1,67,9.82
1,68,9.82
1,69,9.82
1,70,9.82
1,71,9.82
1,72,9.82
1,73,9.58
1,74,9.58
1,75,9.74
1,76,9.74
1,77,9.8
1,78,9.8
1,79,11.35
1,80,11.35
1,81,11.35
1,82,11.35
1,83,11.35
1,84,11.35
1,85,11.35
1,86,11.35
1,87,11.35
1,88,11.35
1,89,11.35
1,90,11.35
1,91,9.82
1,92,9.82
1,93,9.58
1,94,9.58
1,95,9.74
1,96,9.74
1,97,9.8
1,98,9.8
1,99,9.8
1,100,9.8
1,101,9.8
1,102,9.8
1,103,9.8
1,104,9.8
1,105,9.8
1,106,9.8
1,107,9.8
1,108,9.8
1,109,11.35
1,110,11.35
1,111,9.82
1,112,9.82
1,113,9.58
1,114,9.58
1,115,9.74
1,116,9.74
1,117,9.74
1,118,9.74
1,119,9.74
1,120,9.74
1,121,9.74
1,122,9.74
1,123,9.74
1,124,9.74
1,125,9.74
1,126,9.74
1,127,9.8
1,128,9.8
1,129,11.35
1,130,11.35
1,131,9.82
1,132,9.82
1,133,9.58
1,134,9.58
1,135,9.58
1,136,9.58
1,137,9.58
1,138,9.58
1,139,9.58
1,140,9.58
1,141,9.58
1,142,9.58
1,143,9.58
1,144,9.58
1,145,9.74
1,146,9.74
1,147,9.8
1,148,9.8
1,149,11.35
1,150,11.35
1,151,9.82
1,152,9.82
1,153,9.82
1,154,9.82
1,155,9.82
1,156,9.82
1,157,9.82
1,158,9.82
1,159,9.82
1,160,9.82
1,161,9.82
1,162,9.82
1,163,9.58
1,164,9.58
1,165,9.74
1,166,9.74
1,167,9.8
1,168,9.8
1,169,11.35
1,170,11.35
1,171,11.35
1,172,11.35
1,173,11.35
1,174,11.35
1,175,11.35
1,176,11.35
1,177,11.35
1,178,11.35
1,179,11.35
1,180,11.35
1,181,9.82
1,182,9.82
1,183,9.58
1,184,9.58
1,185,9.74
1,186,9.74
1,187,9.8
1,188,9.8
1,189,9.8
1,190,9.8
1,191,9.8
1,192,9.8
1,193,9.8
1,194,9.8
1,195,9.8
1,196,9.8
1,197,9.8
1,198,9.8
1,199,11.35
1,200,11.35
1,201,9.82
1,202,9.82
1,203,9.58
1,204,9.58
1,205,9.74
1,206,9.74
1,207,9.74
1,208,9.74
1,209,9.74
1,210,9.74
1,211,9.74
1,212,9.74
1,213,9.74
1,214,9.74
1,215,9.74
1,216,9.74
1,217,9.8
1,218,9.8
1,219,11.35
1,220,11.35
1,221,9.82
1,222,9.82
1,223,9.58
1,224,9.58
1,225,9.58
1,226,9.58
1,227,9.58
1,228,9.58
1,229,9.58
1,230,9.58
1,231,9.58
1,232,9.58
1,233,9.58
1,234,9.58
1,235,9.74
1,236,9.74
1,237,9.8
1,238,9.8
1,239,11.35
1,240,11.35
1,241,9.82
1,242,9.82
1,243,9.82
1,244,9.82
1,245,9.82
1,246,9.82
1,247,9.82
1,248,9.82
1,249,9.82
1,250,9.82
1,251,9.82
1,252,9.82
1,253,9.58
1,254,9.58
1,255,9.74
1,256,9.74
1,257,9.8
1,258,9.8
1,259,11.35
1,260,11.35
1,261,11.35
1,262,11.35
1,263,11.35
1,264,11.35
1,265,11.35
1,266,11.35
1,267,11.35
1,268,11.35
1,269,11.35
1,270,11.35
1,271,9.82
1,272,9.82
1,273,9.58
1,274,9.58
1,275,9.74
1,276,9.74
1,277,9.8
1,278,9.8
1,279,9.8
1,280,9.8
1,281,9.8
1,282,9.8
1,283,9.8
1,284,9.8
1,285,9.8
1,286,9.8
1,287,9.8
1,288,9.8
1,289,11.35
1,290,11.35
1,291,9.82
1,292,9.82
1,293,9.58
1,294,9.58
1,295,9.74
1,296,9.74
1,297,9.74
1,298,9.74
1,299,9.74
1,300,9.74
5,1,19.31
5,2,11.86
5,3,10.100000000000001
5,4,10.100000000000001
5,5,10.100000000000001
5,6,10.100000000000001
5,7,10.100000000000001
5,8,10.100000000000001
5,9,10.100000000000001
5,10,10.100000000000001
5,11,10.100000000000001
5,12,10.100000000000001
5,13,10.100000000000001
5,14,10.100000000000001
5,15,10.100000000000001
5,16,10.100000000000001
5,17,10.100000000000001
5,18,10.100000000000001
5,19,10.32
5,20,10.32
5,21,8.92
5,22,9.82
5,23,9.58
5,24,9.58
5,25,9.74
5,26,9.74
5,27,9.74
5,28,9.74
5,29,9.74
5,30,9.74
5,31,9.74
5,32,9.74
5,33,9.74
5,34,9.74
5,35,9.74
5,36,9.74
5,37,9.8
5,38,9.8
5,39,11.35
5,40,10.32
5,41,9.82
5,42,8.92
5,43,9.58
5,44,9.58
5,45,9.58
5,46,9.58
5,47,9.58
5,48,9.58
5,49,9.58
5,50,9.58
5,51,9.58
5,52,9.58
5,53,9.58
5,54,9.58
5,55,9.74
5,56,9.74
5,57,9.8
5,58,9.8
5,59,11.35
5,60,10.32
5,61,9.82
5,62,8.92
5,63,9.82
5,64,9.82
5,65,9.82
5,66,9.82
5,67,9.82
5,68,9.82
5,69,9.82
5,70,9.82
5,71,9.82
5,72,9.82
5,73,9.58
5,74,9.58
5,75,9.74
5,76,9.74
5,77,9.8
5,78,9.8
5,79,11.35
5,80,10.32
5,81,11.35
5,82,11.35
5,83,11.35
5,84,11.35
5,85,11.35
5,86,11.35
5,87,11.35
5,88,11.35
5,89,11.35
5,90,11.35
5,91,9.82
5,92,9.82
5,93,9.58
5,94,9.58
5,95,9.74
5,96,9.74
5,97,9.8
5,98,9.8
5,99,9.8
5,100,9.8
5,101,9.8
5,102,9.8
5,103,9.8
5,104,9.8
5,105,9.8
5,106,9.8
5,107,9.8
5,108,9.8
5,109,11.35
5,110,11.35
5,111,9.82
5,112,8.92
5,113,9.58
5,114,9.58
5,115,9.74
5,116,9.74
5,117,9.74
5,118,9.74
5,119,9.74
5,120,9.74
5,121,9.74
5,122,9.74
5,123,9.74
5,124,9.74
5,125,9.74
5,126,9.74
5,127,9.8
5,128,9.8
5,129,11.35
5,130,10.32
5,131,9.82
5,132,8.92
5,133,9.58
5,134,9.58
5,135,9.58
5,136,9.58
5,137,9.58
5,138,9.58
5,139,9.58
5,140,9.58
5,141,9.58
5,142,9.58
5,143,9.58
5,144,9.58
5,145,9.74
5,146,9.74
5,147,9.8
5,148,9.8
5,149,11.35
5,150,10.32
5,151,9.82
5,152,8.92
5,153,9.82
5,154,9.82
5,155,9.82
5,156,9.82
5,157,9.82
5,158,9.82
5,159,9.82
5,160,9.82
5,161,9.82
5,162,9.82
5,163,9.58
5,164,9.58
5,165,9.74
5,166,9.74
5,167,9.8
5,168,9.8
5,169,11.35
5,170,10.32
5,171,11.35
5,172,11.35
5,173,11.35
5,174,11.35
5,175,11.35
5,176,11.35
5,177,11.35
5,178,11.35
5,179,11.35
5,180,11.35
5,181,9.82
5,182,9.82
5,183,9.58
5,184,9.58
5,185,9.74
5,186,9.74
5,187,9.8
5,188,9.8
5,189,9.8
5,190,9.8
5,191,9.8
5,192,9.8
5,193,9.8
5,194,9.8
5,195,9.8
5,196,9.8
5,197,9.8
5,198,9.8
5,199,11.35
5,200,11.35
5,201,9.82
5,202,8.92
5,203,9.58
5,204,9.58
5,205,9.74
5,206,9.74
5,207,9.74
5,208,9.74
5,209,9.74
5,210,9.74
5,211,9.74
5,212,9.74
5,213,9.74
5,214,9.74
5,215,9.74
5,216,9.74
5,217,9.8
5,218,9.8
5,219,11.35
5,220,10.32
5,221,9.82
5,222,8.92
5,223,9.58
5,224,9.58
5,225,9.58
5,226,9.58
5,227,9.58
5,228,9.58
5,229,9.58
5,230,9.58
5,231,9.58
5,232,9.58
5,233,9.58
5,234,9.58
5,235,9.74
5,236,9.74
5,237,9.8
5,238,9.8
5,239,11.35
5,240,10.32
5,241,9.82
5,242,8.92
5,243,9.82
5,244,9.82
5,245,9.82
5,246,9.82
5,247,9.82
5,248,9.82
5,249,9.82
5,250,9.82
5,251,9.82
5,252,9.82
5,253,9.58
5,254,9.58
5,255,9.74
5,256,9.74
5,257,9.8
5,258,9.8
5,259,11.35
5,260,10.32
5,261,11.35
5,262,11.35
5,263,11.35
5,264,11.35
5,265,11.35
5,266,11.35
5,267,11.35
5,268,11.35
5,269,11.35
5,270,11.35
5,271,9.82
5,272,9.82
5,273,9.58
5,274,9.58
5,275,9.74
5,276,9.74
5,277,9.8
5,278,9.8
5,279,9.8
5,280,9.8
5,281,9.8
5,282,9.8
5,283,9.8
5,284,9.8
5,285,9.8
5,286,9.8
5,287,9.8
5,288,9.8
5,289,11.35
5,290,11.35
5,291,9.82
5,292,8.92
5,293,9.58
5,294,9.58
5,295,9.74
5,296,9.74
5,297,9.74
5,298,9.74
5,299,9.74
5,300,9.74
